"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202602","1호선","동대문","551","14","8239","1549","7026","4980","11068","8779","17949","15082","18102","17823","17258","20820","18411","25650","21597","26473","24901","26553","27589","26003","28617","25352","29927","23405","28202","22371","25044","20458","18131","18781","14972","13896","13230","13354","10167","13949","5293","9385","849","2542","4","228","0","0","0","0","20260303"
"202602","1호선","동묘앞","134","2","2367","768","3345","4542","6782","7012","11539","13177","9959","14364","11661","19740","16041","29392","22119","32786","28015","35026","32476","32626","34985","26957","34547","19553","27944","13670","19277","11440","9494","8454","5282","6140","4384","6153","2767","6088","1193","3750","134","1811","0","240","0","0","0","0","20260303"
"202602","1호선","서울역","546","42","8614","8795","27282","49533","83751","105109","144257","209297","106868","147019","96133","90130","102556","90808","119911","103985","113474","100223","98962","93135","122284","107727","136694","115870","192265","138956","218863","163809","127600","115900","94394","82925","96160","74860","61603","53655","30895","28114","3893","6535","22","170","0","0","0","0","20260303"
"202602","1호선","시청","99","3","1328","4391","3042","23116","6204","62422","8603","175469","10941","76964","13735","42392","18672","43123","22074","41584","27150","40248","39138","31857","49302","26276","59231","24448","85320","24938","139204","21482","56534","11925","49009","8521","41922","7472","25732","5087","8459","2861","489","810","3","13","0","0","0","0","20260303"
"202602","1호선","신설동","356","3","6593","1719","8187","6967","17761","19206","27418","42302","18620","27097","17026","17829","18986","17314","20834","17612","22498","19138","22275","17953","23622","19258","26548","19932","34970","22451","43824","27128","18235","20603","12369","14693","10860","13954","7596","11866","3259","7449","357","2097","0","0","0","0","0","0","20260303"
"202602","1호선","제기동","269","3","4135","2266","7045","7831","16927","16151","25692","30800","19679","26628","21668","33224","28973","43034","34967","44254","39297","46464","43134","43850","44868","36372","42714","30911","39000","24699","31855","23161","17656","15780","11666","10662","7135","9898","4654","8190","1933","4994","148","1382","0","0","0","0","0","0","20260303"
"202602","1호선","종각","85","0","3271","5127","3794","30009","5573","97509","8615","228609","11530","122859","16986","57134","27016","57888","32542","53798","40279","52676","53086","43454","67432","37588","82245","40290","138156","42953","188576","42647","88177","23305","79593","12374","77222","9783","53569","6800","22632","3936","1647","1137","0","2","0","0","0","0","20260303"
"202602","1호선","종로3가","104","9","2907","3155","3544","11581","5873","21998","8110","50651","12416","51532","18754","47550","29091","58421","40006","59555","42903","54839","52235","49133","61291","41530","67208","40476","76713","35424","78457","32491","47791","18104","39627","10860","39626","8648","30116","6765","13999","4428","1224","1729","0","35","0","0","0","0","20260303"
"202602","1호선","종로5가","44","0","1427","3632","2491","14565","4854","34469","8862","75820","12736","54640","21853","48799","31066","52528","38595","50707","45608","46420","53771","45591","57448","37617","64202","35953","76976","30319","79190","26243","42943","15641","29507","9181","24156","6892","14783","5723","4656","3433","340","794","0","2","0","0","0","0","20260303"
"202602","1호선","청량리(서울시립대입구)","973","30","8635","2299","14436","9225","40455","14826","47553","34284","31502","32059","29928","37936","37838","49622","44606","51879","48202","53478","52156","52257","55042","47871","58773","46477","50740","46142","42983","51356","25255","35287","20256","21822","15168","20343","9457","17407","4039","10674","303","3740","1","4","0","0","0","0","20260303"
"202602","2호선","강남","130","10","6783","10326","15151","44216","32823","124831","51687","268448","46057","290993","49518","142470","67222","97037","82877","97535","96891","111403","107819","102119","132167","96491","155657","101880","218280","125066","278179","154893","195821","93259","151019","54560","161143","42913","136408","36230","64089","19160","10370","4985","9","5","1","1","0","0","20260303"
"202602","2호선","강변(동서울터미널)","43","2","7373","1570","16809","15921","51156","18365","81616","33888","65604","30731","56251","30018","50984","29759","45934","33768","43600","37417","40339","40803","41669","48386","42966","51144","46485","61091","47643","76279","32327","55820","26152","41559","21786","30794","13346","25955","5099","14337","705","3520","0","35","0","0","0","0","20260303"
"202602","2호선","건대입구","232","12","11498","1533","17792","12041","43218","18835","75051","47185","54609","42582","36351","41706","35048","46509","42374","54359","47527","57843","50040","59334","55576","63821","62173","74906","70590","96177","79496","129682","62863","92954","66032","60354","68847","53479","67147","46777","39725","27525","6174","9627","5","885","0","0","0","0","20260303"
